date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/16,-0.5,-2.5,1.2,0.3,,239,7.8,,1027.9,
1/2/16,-0.3,-2.2,0.5,0,,94,14,,1021.7,
1/3/16,-4.5,-5.7,-2.5,0,,127,18,,1016.1,
1/4/16,-5.8,-6.5,-5.4,0,,115,14.7,,1000.1,
1/5/16,-4.9,-6.5,-4.2,1.8,,72,7.5,,1000.2,
1/6/16,-3.3,-4.4,-2.7,2.8,,13,5.9,,1003.4,
1/7/16,-0.7,-3.3,0.4,1.5,61,137,9.2,,1003.2,
1/8/16,1.8,-0.9,4,0.5,30,231,22.8,,1004.9,
1/9/16,-2.5,-5,-0.9,0,30,330,6.2,,1008.1,
1/10/16,0.8,-1.9,3.2,0.3,10,123,7.2,,1001.8,
1/11/16,3.1,1.8,3.9,2,,171,10.1,,994.5,
1/12/16,3.6,1.9,5.4,2.3,,239,26.1,,995.9,
1/13/16,2.3,0.4,3.7,0,,253,29.6,,1006.8,
1/14/16,0.6,-1.5,3.5,1.8,,203,14.4,,1013.1,
1/15/16,0.1,-1.5,1.5,0.8,,237,18.5,,1008.1,
1/16/16,-2.1,-3.9,-0.7,1,30,282,12.5,,1018.7,
1/17/16,-3,-4.2,-2.2,1.3,,347,11,,1020.3,
1/18/16,-6.8,-11,-2.5,0.8,71,328,5.9,,1023.9,
1/19/16,-8.4,-12.2,-5.4,0,71,203,6.8,,1019.6,
1/20/16,-5.6,-13.1,-2.5,0,71,235,19.2,,1017.2,
1/21/16,-5.8,-9.2,-2.9,0,71,310,8,,1027.8,
1/22/16,-10.8,-15.4,-6,0,71,136,7.2,,1035.6,
1/23/16,-5.9,-17.1,1.9,0,,228,10.5,,1032.3,
1/24/16,2.3,1.2,3,2.8,30,234,15.9,,1033.6,
1/25/16,4.8,0.9,6.9,2.3,,235,20.9,,1027.8,
1/26/16,6.3,3,9.4,0.5,,226,21.5,,1025.9,
1/27/16,9.2,5,11.4,0,,228,26.7,,1020.3,
1/28/16,7.5,0.9,11.6,0,,246,21.2,,1021.7,
1/29/16,4.8,0.5,8.4,0.5,,227,24.2,,1026.9,
1/30/16,6.3,4.6,7.9,0,,216,29.3,,1016.9,
1/31/16,3,0.5,6.2,0.5,,238,24.3,,1011.9,
2/1/16,8.2,2.6,11.4,0.8,,243,20,,1014.6,
2/2/16,9.7,8.9,10.5,2.3,,236,32.1,,1015.5,
2/3/16,3.9,1,7.2,1,,251,18,,1016.2,
2/4/16,1.7,0.4,3.9,0.5,,248,23.4,,1021,
2/5/16,2.5,0,5.4,0,,252,18,,1025.8,
2/6/16,5.6,1,10,0.3,,165,12.3,,1020,
2/7/16,2.4,-1,5.9,0,,137,10.2,,1010.2,
